Batch,Condition,Day,Sample Time,TCC,VCC,Viability,Glucose,Glutamate,Lactate,Osmo,Ammonium,IGG,pH_at_temp,pH_Setpoint,Temperature,Daily_Feed_Normalized,Daily_Glucose_Normalized,Daily_CO2_Volume_Normalized,Controller_pH,Feed A Added,Glucose Added,CO2_Total_Volume,Volume
AR23-014-004,pH: 6.95,6,3/13/2023 6:28,19.79,19.69,99.49469429,3.93,5.77,1.39,336,5.11,,7.15,6.95,31,0,0.00454316,0.000504796,7.132,13.5,0.9,0.3,198.1
AR23-014-005,pH: 6.95,6,3/13/2023 6:38,13.81,13.72,99.34829833,6.22,6.22,1.21,366,7.2,,7.17,6.95,31,0,0,0,7.184,13.5,1,0.4,199.2
AR23-014-006,pH: 7.01,6,3/13/2023 6:48,25.03,24.89,99.44067119,1.76,4.52,1.52,310,3.05,,7.17,7.01,36.5,0,0.009113924,0,7.191,12.1,1.1,0.2,197.5
AR23-014-007,pH: 6.95,6,3/13/2023 6:57,9.53,9.43,98.95068206,4.79,5.63,1.49,354,9.25,,7.17,6.95,31,0,0,0,7.174,9,0,0.5,193.3
AR23-014-008,pH: 7.008,6,3/13/2023 7:07,18.16,17.99,99.06387665,3.68,4.25,0.82,331,4.19,,7.27,7.008,31,0,0.005144033,0.000514403,7.252,9,1.1,0.2,194.4
AR23-014-009,pH: 7.05,6,3/13/2023 7:18,21.26,21.08,99.1533396,4.26,5.11,1.18,339,5.41,,7.17,7.05,31,0,0.004069176,0,7.157,11.2,0.9,0.2,196.6
AR23-014-010,pH: 7.15,6,3/13/2023 7:27,16.43,16.18,98.47839318,3.3,4.86,2.12,335,6.58,,7,7.15,36.5,0,0.005667182,0,7.041,9,0.7,0.2,194.1
AR23-014-011,pH: 7.15,6,3/13/2023 7:37,24.7,24.58,99.51417004,2.16,4.8,1.47,314,3.32,,7.15,7.15,36.5,0,0.008547009,0,7.184,13.5,1.1,0.1,198.9
AR23-014-012,pH: 7.074747498,6,3/13/2023 7:47,11.9,11.8,99.15966387,6.57,6.09,1.3,374,8.75,,7.15,7.074747498,31,0,0,0,7.167,13.5,0.9,0.2,199.1
AR23-014-013,pH: 7.05,6,3/13/2023 8:04,21.52,21.34,99.16356877,4.44,5.57,1.32,343,5.73,,7.16,7.05,31,0,0.003560529,0,7.129,11.2,0.9,0.2,196.6
AR23-014-014,pH: 6.95,6,3/13/2023 8:15,15.14,14.96,98.81109643,5.55,5.74,1.21,344,6.93,,7.15,6.95,31,0,0,0,7.169,10.7,1,0.3,196.2
AR23-014-015,pH: 7.15,6,3/13/2023 8:25,15.71,15.58,99.17250159,3.45,6.62,2.29,356,8.34,,6.99,7.15,36.5,0,0.005544355,0,7.015,13.5,0,0.2,198.4
AR23-014-016,pH: 6.95,6,3/13/2023 8:35,16.56,16.38,98.91304348,3.74,6.49,2.16,352,8.63,,6.97,6.95,36.5,0,0.005045409,0,6.997,13.5,0,0.5,198.2
AR23-014-017,pH: 7.15,6,3/13/2023 8:44,,,,4.64,5.38,0.98,338,4.92,,7.25,7.15,31,0,0,0,7.219,12.1,1.2,0.1,197.9
AR23-014-018,pH: 6.95,6,3/13/2023 8:54,17.94,17.75,98.94091416,1.76,5.11,1.93,323,6.13,,7.05,6.95,36.5,0,0.00931677,0,7.012,9,0,0.4,193.2
AR23-014-020,pH: 7.15,6,3/13/2023 9:05,8.36,8.17,97.72727273,7.62,6.92,1.66,390,10.12,,7.13,7.15,31,0,0,0,7.119,13.5,0.7,0.2,193.3
AR23-014-021,pH: 6.95,6,3/13/2023 9:23,16.61,16.53,99.51836243,5.49,5.5,1.24,347,6.83,,7.18,6.95,31,0,0,0,7.169,10.7,1,0.3,192.1
AR23-014-023,DR23-008 Satellites,6,3/13/2023 9:33,21.78,21.66,99.44903581,3.69,4.65,0.75,322,4,,7.28,7.05,31,0,0.005040323,0.000504032,7.223,11.2,1.1,0.3,198.4
AR23-014-024,DR23-008 Satellites,6,3/13/2023 9:43,23.56,23.38,99.23599321,3.71,4.69,0.73,322,3.94,,7.3,7.05,31,0,0.004573171,0.00050813,7.22,11.2,1.2,0.2,196.8
AR23-014-001,pH: 7.15,7,3/14/2023 10:12,15.32,15.14,98.82506527,2.74,3.5,0.46,308,3.71,1275.385,7.35,7.15,31,0.023364486,0,0,7.331,9,1.2,0.1,192.6
AR23-014-002,pH: 7.05,7,3/14/2023 6:08,22.38,22.2,99.19571046,4.14,4.69,0.68,322,4.26,1189.844,7.31,7.05,31,0.028659161,0,0.000511771,7.31,11.2,1.6,0.2,195.4
AR23-014-003,pH: 6.95,7,3/14/2023 6:18,25.46,25.15,98.78240377,4.82,1.13,0.14,310,3.75,1404.35,7.33,6.95,31,0.023171988,0,0.003604531,7.212,9,3.1,0.7,194.2
AR23-014-004,pH: 6.95,7,3/14/2023 6:27,25.44,25.2,99.05660377,4.36,4.6,0.5,327,4.23,1245.508,7.27,6.95,31,0.033992897,0,0.005073567,7.21,13.5,1.8,0.4,197.1
AR23-014-005,pH: 6.95,7,3/14/2023 6:37,16.19,16.08,99.32056825,4.14,5.24,1.01,340,5.78,1117.648,7.22,6.95,31,0.033941236,0,0.000506586,7.209,13.5,1,0.4,197.4
AR23-014-006,pH: 7.01,7,3/14/2023 6:47,29.23,28.89,98.8368115,4.45,2.85,0.39,315,2.92,1373.512,7.38,7.01,31,0.030917385,0,0.005068424,7.27,12.1,2.9,0.2,197.3
AR23-014-007,pH: 6.95,7,3/14/2023 6:57,11.81,11.65,98.64521592,3.39,5.22,1.43,338,8.5,619.0543,7.15,6.95,31,0.023498695,0,0,7.149,9,0,0.5,191.5
AR23-014-008,pH: 7.008,7,3/14/2023 7:06,19.96,19.79,99.14829659,4.35,2.73,0.29,316,3.79,1334.724,7.3,7.008,31,0.023255814,0,0.003100775,7.273,9,2.1,0.3,193.5
AR23-014-009,pH: 7.05,7,3/14/2023 7:16,23.09,22.88,99.09051537,4.26,4.15,0.63,325,4.04,1064.002,7.31,7.05,31,0.028644501,0,0.000511509,7.312,11.2,1.7,0.2,195.5
AR23-014-010,pH: 7.15,7,3/14/2023 7:27,22.86,22.55,98.64391951,4.58,4.04,1.1,326,4.1,859.6818,7.3,7.15,31,0.023267839,0,0,7.192,9,1.8,0.2,193.4
AR23-014-011,pH: 7.15,7,3/14/2023 7:37,28.24,27.91,98.83144476,4.42,3.29,0.42,319,3.05,1409.121,7.42,7.15,31,0.033736153,0,0.001007049,7.337,13.5,2.8,0.1,198.6
AR23-014-012,pH: 7.074747498,7,3/14/2023 7:47,12.83,12.64,98.51909587,4.97,5.46,1.19,353,7.57,953.4584,7.21,7.074747498,31,0.033958439,0,0,7.174,13.5,0.9,0.2,197.3
AR23-014-013,pH: 7.05,7,3/14/2023 8:03,24.25,24.1,99.3814433,4.19,4.48,0.69,328,4.35,1075.093,7.32,7.05,31,0.028659161,0,0.000511771,7.299,11.2,1.6,0.2,195.4
AR23-014-014,pH: 6.95,7,3/14/2023 8:29,15.7,15.58,99.23566879,3.64,4.64,0.92,323,5.21,1050.873,7.23,6.95,31,0.027792074,0,0.001029336,7.203,10.7,1,0.3,194.3
AR23-014-015,pH: 7.15,7,3/14/2023 8:39,22.24,22.04,99.10071942,4.41,5.79,1.5,352,6.07,816.8136,7.23,7.15,31,0.033906883,0,0,7.143,13.5,1.1,0.2,197.6
AR23-014-016,pH: 6.95,7,3/14/2023 10:22,21.88,21.73,99.31444241,4.2,5.75,1.21,338,6.1,824.7796,7.23,6.95,31,0.034096692,0,0.000508906,7.159,13.5,1,0.5,196.5
AR23-014-017,pH: 7.15,7,3/14/2023 10:34,24.23,24.08,99.38093273,2.47,4.23,0.38,312,3.65,1352.047,7.4,7.15,31,0.03125,0,0.000512295,7.406,12.1,1.2,0.1,195.2
AR23-014-018,pH: 6.95,7,3/14/2023 9:14,24.6,24.51,99.63414634,4.79,4.33,0.87,322,4.13,874.7127,7.27,6.95,31,0.023303988,0,0.001553599,7.212,9,1.8,0.4,193.1
AR23-014-020,pH: 7.15,7,3/14/2023 9:24,,,,6.52,6.63,1.63,379,10.6,545.6961,7.11,7.15,31,0.033685269,0,0,7.114,13.5,0.7,0.2,198.9
AR23-014-021,pH: 6.95,7,3/14/2023 9:34,15.74,15.59,99.04701398,3.67,4.65,0.94,326,5.35,1030.189,7.21,6.95,31,0.027536971,0,0.001019888,7.214,10.7,1,0.3,196.1
AR23-014-023,DR23-008 Satellites,7,3/14/2023 9:44,23.59,23.42,99.27935566,4.21,3.29,0.22,313,3.84,1302.63,7.33,7.05,31,0.028340081,0,0.002530364,7.31,11.2,2.1,0.4,197.6
AR23-014-024,DR23-008 Satellites,7,3/14/2023 10:03,24.37,24.13,99.0151826,4.25,3.25,0.18,309,3.89,1302.882,7.32,7.05,31,0.028586013,0,0.003573252,7.309,11.2,2.1,0.3,195.9
AR23-014-001,pH: 7.15,8,3/15/2023 11:32,19.65,19.47,99.08396947,1.99,3.47,0.28,313,4.24,,7.395,7.15,31,0,0.008753862,0,7.408,13.5,1.2,0.1,194.2
AR23-014-002,pH: 7.05,8,3/15/2023 6:14,21.38,21.2,99.15809167,3.77,5.04,0.52,336,4.71,,7.328,7.05,31,0,0.004538578,0.003025719,7.307,16.8,1.6,0.3,198.3
AR23-014-003,pH: 6.95,8,3/15/2023 6:23,26.39,25.82,97.84009094,4.41,1.67,0.15,325,7.87,,7.225,6.95,31,0,0.003065917,0.003576903,7.213,13.5,3.1,1.4,195.7
AR23-014-004,pH: 6.95,8,3/15/2023 6:33,27.24,27.08,99.41262849,4.51,4.89,0.31,349,6.7,,7.241,6.95,31,0,0,0.014420686,7.211,20.2,1.8,1.4,201.1
AR23-014-005,pH: 6.95,8,3/15/2023 6:44,16.98,16.91,99.58775029,4.6,6.09,0.75,360,6.59,,7.216,6.95,31,0,0,0.00248139,7.209,20.2,1,0.5,201.5
AR23-014-006,pH: 7.01,8,3/15/2023 6:54,25.96,25.45,98.03543914,4.04,3.04,0.29,329,5.59,,7.281,7.01,31,0,0.003990025,0.00798005,7.269,18.2,2.9,1.2,200.5
AR23-014-007,pH: 6.95,8,3/15/2023 7:03,13.63,13.48,98.89948643,3.53,6.03,1.21,351,8.01,,7.199,6.95,31,0,0.005178664,0,7.186,13.5,0,0.5,193.1
AR23-014-008,pH: 7.008,8,3/15/2023 7:13,22.91,22.72,99.17066783,3.8,2.24,0.19,322,5.67,,7.28,7.008,31,0,0.005125577,0.006150692,7.273,13.5,2.1,0.9,195.1
AR23-014-009,pH: 7.05,8,3/15/2023 8:22,26.43,26.19,99.09194098,3.76,4.84,0.5,333,4.53,,7.306,7.05,31,0,0.005094244,0.00356597,7.296,16.8,1.7,0.3,196.3
AR23-014-010,pH: 7.15,8,3/15/2023 11:41,,,,3.37,4.51,0.74,325,3.36,,7.329,7.15,31,0,0.005664264,0,7.361,13.5,1.8,0.2,194.2
AR23-014-011,pH: 7.15,8,3/15/2023 11:51,32.94,32.35,98.2088646,3.2,4.03,0.42,328,3.86,,7.385,7.15,31,0,0.00594943,0.000495786,7.404,20.2,2.8,0.3,201.7
AR23-014-012,pH: 7.074747498,8,3/15/2023 12:10,15.79,15.64,99.05003167,5,6.87,1.02,364,7.62,,7.243,7.074747498,31,0,0,0,7.277,20.2,0.9,0.2,200.5
AR23-014-013,pH: 7.05,8,3/15/2023 9:00,24.63,24.45,99.26918392,3.75,4.91,0.53,334,4.84,,7.304,7.05,31,0,0.004540868,0.002522704,7.307,16.8,1.6,0.3,198.2
AR23-014-014,pH: 6.95,8,3/15/2023 9:10,16.94,16.77,98.99645809,3.76,5.04,0.53,341,6.08,,7.23,6.95,31,0,0.004570848,0.00253936,7.214,16.1,1,0.5,196.9
AR23-014-015,pH: 7.15,8,3/15/2023 12:20,23.02,22.81,99.08774978,3.88,6.91,1.26,356,5.25,,7.268,7.15,31,0,0.004479841,0,7.298,20.2,1.1,0.2,200.9
AR23-014-016,pH: 6.95,8,3/15/2023 10:22,,,,4.2,6.9,0.97,356,6.09,,7.222,6.95,31,0,0.003990025,0.002493766,7.21,20.2,1,0.6,200.5
AR23-014-017,pH: 7.15,8,3/15/2023 10:32,23.87,23.68,99.20402178,1.93,5.11,0.4,322,4.11,,7.393,7.15,31,0,0.00906801,0.000503778,7.408,18.2,1.2,0.2,198.5
AR23-014-018,pH: 6.95,8,3/15/2023 10:42,23.95,23.72,99.03966597,4,4.43,0.49,329,4.45,,7.234,6.95,31,0,0.004125838,0.004125838,7.212,13.5,1.8,0.7,193.9
AR23-014-020,pH: 7.15,8,3/15/2023 10:52,8.21,8.09,98.53836784,7.11,7.99,1.67,401,11.3,,7.119,7.15,31,0,0,0,7.122,20.2,0.7,0.2,201.1
AR23-014-021,pH: 6.95,8,3/15/2023 11:02,17.04,16.87,99.00234742,3.62,5.23,0.57,339,6.04,,7.229,6.95,31,0,0.00507872,0.002031488,7.213,16.1,1,0.5,196.9
AR23-014-023,DR23-008 Satellites,8,3/15/2023 11:12,26.58,26.31,98.98419865,3.34,3.27,0.24,319,5.38,,7.314,7.05,31,0,0.005991013,0.004992511,7.311,16.8,2.1,0.9,200.3
AR23-014-024,DR23-008 Satellites,8,3/15/2023 11:21,28.17,27.78,98.61554846,3.47,3.11,0.19,319,5.61,,7.317,7.05,31,0,0.005535984,0.007549069,7.31,16.8,2.1,1,198.7
AR23-014-001,pH: 7.15,9,3/16/2023 12:49,20.89,20.64,98.80325515,3.54,1.41,0.09,315,4.11,2297.52,7.426,7.15,31,0.023340249,0.005186722,0.000518672,7.401,13.5,2.9,0.1,192.8
AR23-014-002,pH: 7.05,9,3/16/2023 9:04,23.51,23.16,98.5112718,3.21,2.15,0.09,314,4.84,2255.415,7.339,7.05,31,0.028556859,0.006119327,0.006119327,7.308,16.8,2.5,0.9,196.1
AR23-014-003,pH: 6.95,9,3/16/2023 9:14,28.72,27.45,95.57799443,3.72,0.23,0.24,316,8.57,2004.285,7.217,6.95,31,0.023279876,0.005173306,0.002069322,7.217,13.5,3.7,2.1,193.3
AR23-014-004,pH: 6.95,9,3/16/2023 9:24,,,,1.57,1.44,0.08,325,8.51,2438.835,7.209,6.95,31,0.033855483,0.009600808,0.01061142,7.208,20.2,1.8,4.3,197.9
AR23-014-005,pH: 6.95,9,3/16/2023 9:34,19.36,19.14,98.86363636,2.27,4.56,0.39,341,7.18,2109.78,7.272,6.95,31,0.033770161,0.008064516,0.004032258,7.21,20.2,1,1,198.4
AR23-014-006,pH: 7.01,9,3/16/2023 9:44,30.18,28.97,95.99072233,2.91,0.31,0.13,311,6.08,2486.55,7.306,7.01,31,0.030287733,0.007067138,0.003028773,7.262,18.2,3.7,2.8,198.1
AR23-014-007,pH: 6.95,9,3/16/2023 9:54,14.73,14.42,97.89545146,4.23,5.25,0.83,341,7.2,1323.76,7.234,6.95,31,0.023547881,0.00418629,0.001046572,7.214,13.5,1,0.5,191.1
AR23-014-008,pH: 7.008,9,3/16/2023 10:11,25.75,25.27,98.13592233,3.17,0.3,0.13,307,7.01,2416.245,7.293,7.008,31,0.023328149,0.005702436,0.002592017,7.272,13.5,3.1,2.1,192.9
AR23-014-009,pH: 7.05,9,3/16/2023 10:20,28.85,28.64,99.27209705,3.34,1.74,0.09,311,4.84,2345.55,7.333,7.05,31,0.028836251,0.005664264,0.004634398,7.308,16.8,2.7,1,194.2
AR23-014-010,pH: 7.15,9,3/16/2023 10:30,29.62,29.35,99.08845375,3.89,2.83,0.36,318,2.86,1819.275,7.429,7.15,31,0.023413111,0.004682622,0.000520291,7.406,13.5,2.9,0.2,192.2
AR23-014-011,pH: 7.15,9,3/16/2023 10:40,30.84,29.78,96.56290532,3.45,2.29,0.16,312,3.51,2422.005,7.416,7.15,31,0.033533534,0.005505506,0.000500501,7.401,20.2,4,0.4,199.8
AR23-014-012,pH: 7.074747498,9,3/16/2023 10:50,16.54,16.4,99.15356711,2.95,5.83,0.7,347,6.78,1919.64,7.308,7.074747498,31,0.033924051,0.006582278,0,7.301,20.2,0.9,0.2,197.5
AR23-014-013,pH: 7.05,9,3/16/2023 11:00,24.85,24.52,98.67203219,3.25,2.21,0.15,318,4.63,2340.03,7.349,7.05,31,0.028556859,0.006119327,0.005609383,7.308,16.8,2.5,0.8,196.1
AR23-014-014,pH: 6.95,9,3/16/2023 11:12,17.4,17.16,98.62068966,3.94,3.37,0.17,334,7.03,2085.795,7.246,6.95,31,0.027720739,0.004620123,0.004106776,7.213,16.1,1.9,1,194.8
AR23-014-015,pH: 7.15,9,3/16/2023 11:22,23.49,23.17,98.63771818,3.61,5.44,0.82,345,3.73,1737.78,7.372,7.15,31,0.033719175,0.005032713,0,7.369,20.2,2,0.2,198.7
AR23-014-016,pH: 6.95,9,3/16/2023 11:32,24.46,24.28,99.26410466,3.66,4.86,0.48,339,5.64,1846.05,7.228,6.95,31,0.033804238,0.005045409,0.006559031,7.212,20.2,1.8,1.1,198.2
AR23-014-017,pH: 7.15,9,3/16/2023 11:42,26.71,26.51,99.25121677,3.29,2.89,0.13,313,3.92,2467.26,7.427,7.15,31,0.0304414,0.005580923,0.002536783,7.405,18.2,3,0.3,197.1
AR23-014-018,pH: 6.95,9,3/16/2023 11:51,28.48,28.2,99.01685393,3.85,1.5,0.11,315,5.44,1849.065,7.256,6.95,31,0.023474178,0.004694836,0.005738132,7.213,13.5,2.6,1.5,191.7
AR23-014-020,pH: 7.15,9,3/16/2023 12:09,,,,5.5,7.39,1.48,387,10.95,983.9268,7.152,7.15,31,0.033821302,0,0,7.149,20.2,0.7,0.2,198.1
AR23-014-021,pH: 6.95,9,3/16/2023 12:19,18.15,18,99.17355372,4.16,3.55,0.24,336,6.83,2010.165,7.249,6.95,31,0.027720739,0.004106776,0.004106776,7.209,16.1,2,0.9,194.8
AR23-014-023,DR23-008 Satellites,9,3/16/2023 12:29,27.7,27.23,98.3032491,3.14,0.37,0.1,308,6.07,2561.805,7.322,7.05,31,0.02824004,0.006051437,0.003025719,7.292,16.8,3.3,1.9,198.3
AR23-014-024,DR23-008 Satellites,9,3/16/2023 12:39,32.87,32.12,97.71828415,3.1,0.27,0.11,307,6.42,2652.825,7.31,7.05,31,0.028484232,0.006612411,0.003051882,7.294,16.8,3.2,2.5,196.6
AR23-014-001,pH: 7.15,10,3/17/2023 9:51,21.08,20.55,97.4857685,3.99,0.25,0.09,304,4.98,2742.87,7.41,7.15,31,0,0,0.001535312,7.41,18,3.9,0.2,195.4
AR23-014-002,pH: 7.05,10,3/17/2023 6:15,22.9,22.58,98.60262009,3.91,0.3,0.12,315,6.58,2886.35,7.322,7.05,31,0,0,0.009504752,7.305,22.4,3.7,2.1,199.9
AR23-014-003,pH: 6.95,10,3/17/2023 6:22,27.91,26.17,93.76567539,4.5,0.37,0.32,321,8.5,2097.93,7.229,6.95,31,0,0,0.003062787,7.215,18,4.7,2.5,195.9
AR23-014-004,pH: 6.95,10,3/17/2023 6:30,26.95,26.22,97.29128015,3.77,0.32,0.32,332,9.72,2489.3,7.207,6.95,31,0,0,0.018654885,7.208,26.9,3.7,6.4,203.7
AR23-014-005,pH: 6.95,10,3/17/2023 6:38,17.15,16.87,98.36734694,4.46,2.84,0.18,347,8.87,2595.05,7.197,6.95,31,0,0,0.007352941,7.21,26.9,2.6,1.8,204
AR23-014-006,pH: 7.01,10,3/17/2023 6:45,25.93,24.09,92.90397223,4.15,0.35,0.24,320,6.93,2743.74,7.258,7.01,31,0,0,0.002465483,7.271,24.2,5.1,3.4,202.8
AR23-014-007,pH: 6.95,10,3/17/2023 6:59,13.19,12.92,97.95299469,4.77,4.5,0.44,338,7.01,1541.49,7.226,6.95,31,0,0,0.002068252,7.216,18,1.8,0.7,193.4
AR23-014-008,pH: 7.008,10,3/17/2023 7:09,21.64,20.9,96.58040665,4.31,0.31,0.11,315,7.72,2573.78,7.279,7.008,31,0,0,0.004601227,7.276,18,4.2,2.6,195.6
AR23-014-009,pH: 7.05,10,3/17/2023 7:20,27.91,27.49,98.49516302,3.74,0.18,0.09,312,6.44,2861.18,7.322,7.05,31,0,0,0.009090909,7.306,22.4,3.8,1.9,198
AR23-014-010,pH: 7.15,10,3/17/2023 7:31,26.72,26.3,98.42814371,3.93,0.3,0.23,308,3.29,2299.82,7.43,7.15,31,0,0,0.002569373,7.408,18,3.8,0.3,194.6
AR23-014-011,pH: 7.15,10,3/17/2023 7:41,28.77,27.42,95.3076121,3.98,1.01,0.09,312,4.89,2901.36,7.424,7.15,31,0,0,0.001953125,7.407,26.9,5.1,0.5,204.8
AR23-014-012,pH: 7.074747498,10,3/17/2023 7:55,13.18,13,98.63429439,4.2,4.9,0.47,341,6,2282.49,7.348,7.074747498,31,0,0,0.000986193,7.332,26.9,2.2,0.2,202.8
AR23-014-013,pH: 7.05,10,3/17/2023 8:09,20.04,19.78,98.70259481,3.86,0.27,0.12,312,6.43,2844.35,7.314,7.05,31,0,0,0.010005003,7.307,22.4,3.7,1.9,199.9
AR23-014-014,pH: 6.95,10,3/17/2023 8:21,16.05,15.84,98.69158879,4.26,1.45,0.08,330,8.52,2459.18,7.226,6.95,31,0,0,0.007568113,7.214,21.5,2.8,1.8,198.2
AR23-014-015,pH: 7.15,10,3/17/2023 8:31,24.12,23.84,98.83913765,3.89,4.04,0.45,340,3.17,2196.06,7.414,7.15,31,0,0,0.003436426,7.407,26.9,3,0.2,203.7
AR23-014-016,pH: 6.95,10,3/17/2023 8:42,24.85,24.5,98.5915493,4.23,2.62,0.14,334,6.69,2434.53,7.251,6.95,31,0,0,0.023633678,7.218,26.9,2.8,2.4,203.1
AR23-014-017,pH: 7.15,10,3/17/2023 8:51,23.77,23.47,98.73790492,3.66,0.28,0.07,313,5.07,2929.59,7.403,7.15,31,0,0,0.004965243,7.403,24.2,4.1,0.8,201.4
AR23-014-018,pH: 6.95,10,3/17/2023 9:02,26.75,26.24,98.09345794,3.97,0.27,0.15,327,7.16,2336.01,7.241,6.95,31,0,0,0.011334364,7.213,18,3.5,2.6,194.1
AR23-014-020,pH: 7.15,10,3/17/2023 9:11,10.78,10.56,97.95918367,4.06,6.57,1.18,369,9.73,1324.03,7.203,7.15,31,0,0,0,7.186,26.9,0.7,0.2,202.2
AR23-014-021,pH: 6.95,10,3/17/2023 9:21,18.33,18.08,98.63611566,4.27,1.73,0.11,332,8.3,2427.35,7.22,6.95,31,0,0,0.007571933,7.216,21.5,2.8,1.7,198.1
AR23-014-023,DR23-008 Satellites,10,3/17/2023 9:31,25.81,25.04,97.01666021,3.9,0.27,0.06,314,6.73,2927.27,7.331,7.05,31,0,0,0.007414731,7.311,22.4,4.5,2.5,202.3
AR23-014-024,DR23-008 Satellites,10,3/17/2023 9:41,28.26,27.51,97.34607219,3.95,0.24,0.08,309,6.79,2779.37,7.326,7.05,31,0,0,0.007477567,7.309,22.4,4.5,3.1,200.6
AR23-014-001,pH: 7.15,11,3/18/2023 9:17,20.35,19.88,97.69041769,,,,,,,,7.15,31,0,0.004627249,0.001028278,7.404,18,3.9,0.5,194.5
AR23-014-002,pH: 7.05,11,3/18/2023 6:08,24.19,23.65,97.76767259,3.04,0.89,0.08,327,8.35,,7.3,7.05,31,0,0.006565657,0.007070707,7.309,22.4,3.7,4,198
AR23-014-003,pH: 6.95,11,3/18/2023 6:16,24.9,22.63,90.88353414,4.32,1.4,0.19,335,9.5,,7.2,6.95,31,0,0.003606388,0.00309119,7.211,18,4.7,3.1,194.1
AR23-014-004,pH: 6.95,11,3/18/2023 6:25,24.57,23.9,97.27309727,3.23,1.5,0.21,349,10.63,,7.18,6.95,31,0,0.00594943,0.01784829,7.21,26.9,3.7,10.2,201.7
AR23-014-005,pH: 6.95,11,3/18/2023 6:32,17.7,17.56,99.20903955,4.45,3.63,0.22,371,11.61,,7.2,6.95,31,0,0.003463632,0.008906482,7.207,26.9,2.6,3.3,202.1
AR23-014-006,pH: 7.01,11,3/18/2023 6:40,25.78,23.76,92.16446858,3.69,2.04,0.36,335,7.13,,7.22,7.01,31,0,0.004977601,0.00298656,7.271,24.2,5.1,3.9,200.9
AR23-014-007,pH: 6.95,11,3/18/2023 6:51,12.2,11.87,97.29508197,4.67,4.69,0.18,356,9,,7.22,6.95,31,0,0,0.003131524,7.212,18,1.8,1.1,191.6
AR23-014-008,pH: 7.008,11,3/18/2023 7:01,23.14,22.22,96.02420052,3.4,0.75,0.13,321,8.49,,7.27,7.008,31,0,0.005675955,0.004643963,7.273,18,4.2,3.5,193.8
AR23-014-009,pH: 7.05,11,3/18/2023 7:11,22.55,22.12,98.09312639,2.87,0.59,0.08,321,8.31,,7.28,7.05,31,0,0.006629271,0.006119327,7.304,22.4,3.8,3.7,196.1
AR23-014-010,pH: 7.15,11,3/18/2023 7:22,21.91,21.29,97.1702419,2.68,1.06,0.12,315,4.78,,7.41,7.15,31,0,0.007265179,0.001556824,7.411,18,3.8,0.8,192.7
AR23-014-011,pH: 7.15,11,3/18/2023 7:32,22.82,21.59,94.60999124,3.21,2.85,0.1,325,5.56,,7.38,7.15,31,0,0.005914243,0.000492854,7.404,26.9,5.1,0.9,202.9
AR23-014-012,pH: 7.074747498,11,3/18/2023 7:43,16.27,16.01,98.40196681,4.11,5.59,0.35,364,7.47,,7.33,7.074747498,31,0,0.0039801,0.00199005,7.333,26.9,2.2,0.4,201
AR23-014-013,pH: 7.05,11,3/18/2023 8:03,20.76,20.41,98.31406551,2.95,0.67,0.1,325,7.83,,7.29,7.05,31,0,0.006565657,0.006565657,7.306,22.4,3.7,3.9,198
AR23-014-014,pH: 6.95,11,3/18/2023 8:14,15.54,15.23,98.00514801,3.87,2.2,0.16,341,10.79,,7.19,6.95,31,0,0.004584819,0.008660214,7.213,21.5,2.8,3.3,196.3
AR23-014-015,pH: 7.15,11,3/18/2023 8:25,22.09,21.67,98.09868719,3.32,4.6,0.26,346,4.62,,7.41,7.15,31,0,0.005952381,0.007936508,7.402,26.9,3,0.9,201.6
AR23-014-016,pH: 6.95,11,3/18/2023 12:04,25,24.54,98.16,3.27,2.72,0.17,354,10.03,,7.19,6.95,31,0,0.005472637,0.025870647,7.205,26.9,2.8,7.2,201
AR23-014-017,pH: 7.15,11,3/18/2023 12:14,25.96,25.48,98.15100154,1.96,1.54,0.06,312,6.14,,7.38,7.15,31,0,0.009027081,0.002507523,7.397,24.2,4.1,1.8,199.4
AR23-014-018,pH: 6.95,11,3/18/2023 12:24,24.74,23.85,96.4025869,2.64,0.23,0.26,322,9.02,,7.18,6.95,31,0,0.007284079,0.004682622,7.188,18,3.5,4.8,192.2
AR23-014-020,pH: 7.15,11,3/18/2023 12:34,9.26,9,97.19222462,4.2,7.73,1.03,386,9.82,,7.19,7.15,31,0,0.003494758,0,7.207,26.9,0.7,0.2,200.3
AR23-014-021,pH: 6.95,11,3/18/2023 12:44,15.74,15.39,97.77636595,3.58,2.22,0.18,345,10.98,,7.19,6.95,31,0,0.00509684,0.00764526,7.201,21.5,2.8,3.2,196.2
AR23-014-023,DR23-008 Satellites,11,3/18/2023 12:54,25.89,24.97,96.44650444,2.67,0.38,0.09,315,7.79,,7.29,7.05,31,0,0.007488767,0.002995507,7.297,22.4,4.5,4,200.3
AR23-014-024,DR23-008 Satellites,11,3/18/2023 9:10,27.41,26.33,96.05983218,,,,,,,,7.05,31,0,0.004509018,0.005511022,7.305,22.4,4.5,4.6,199.6
AR23-014-001,pH: 7.15,12,3/19/2023 12:03,16.94,16.55,97.69775679,2.19,0.65,0.08,302,5.87,3713.91,,7.15,31,0.022739018,0.004134367,0.001033592,7.383,18,4.8,0.7,193.5
AR23-014-002,pH: 7.05,12,3/19/2023 12:11,21.45,20.75,96.73659674,2.55,0.43,0.07,321,7.82,4086.09,,7.05,31,0.028890015,0,0.006588951,7.299,22.4,5,5.4,197.3
